Time (s),Average
1.35E-02,-5.06E-02
2.70E-02,4.51E-02
4.05E-02,-2.52E-02
5.40E-02,1.32E-02
6.75E-02,-3.75E-03
8.10E-02,-3.41E-04
9.45E-02,-1.34E-03
0.108,1.12E-03
0.1215,6.67E-03
0.135,5.72E-03
0.1485,3.63E-03
0.162,1.08E-03
0.1755,-5.00E-04
0.189,1.82E-05
0.2025,4.44E-04
0.216,1.64E-03
0.2295,2.16E-03
0.243,1.15E-03
0.2565,4.26E-04
0.27,-4.09E-05
0.2835,5.67E-04
0.297,1.54E-03
0.3105,2.96E-03
0.324,3.84E-03
0.3375,5.09E-03
0.351,3.07E-03
0.3645,-3.14E-03
0.378,-8.88E-05
0.3915,-1.01E-03
0.405,5.39E-03
0.4185,-3.85E-03
0.432,6.19E-03
0.4455,6.72E-03
0.459,5.18E-03
0.4725,-1.89E-03
0.486,-5.13E-03
0.4995,-9.92E-03
0.513,-8.60E-03
0.5265,-7.64E-03
0.54,-4.67E-03
0.5535,-2.57E-03
0.567,-7.94E-04
0.5805,1.59E-03
0.594,1.77E-03
0.6075,5.16E-04
0.621,2.50E-04
0.6345,1.38E-03
0.648,2.69E-03
0.6615,3.30E-03
0.675,3.00E-03
0.6885,1.88E-03
0.702,1.14E-03
0.7155,-7.26E-05
0.729,-3.00E-04
0.7425,1.63E-05
0.756,-5.61E-03
0.7695,-1.09E-02
0.783,-1.06E-02
0.7965,-7.65E-03
0.81,1.22E-02
0.8235,-2.51E-02
0.837,2.68E-02
0.8505,-1.59E-02
0.864,9.00E-03
0.8775,-2.00E-03
0.891,-1.04E-03
0.9045,-1.08E-03
0.918,1.12E-03
0.9315,6.53E-03
0.945,5.86E-03
0.9585,3.59E-03
0.972,1.13E-03
0.9855,-5.84E-04
0.999,-1.79E-05
1.0125,4.77E-04
1.026,1.63E-03
1.0395,2.17E-03
1.053,1.24E-03
1.0665,2.70E-04
1.08,9.20E-05
1.0935,4.56E-04
1.107,1.60E-03
1.1205,2.92E-03
1.134,3.88E-03
1.1475,5.10E-03
1.161,2.98E-03
1.1745,-3.07E-03
1.188,-1.30E-04
1.2015,-9.88E-04
1.215,5.38E-03
1.2285,-3.84E-03
1.242,6.18E-03
1.2555,6.73E-03
1.269,5.18E-03
1.2825,-1.89E-03
1.296,-5.13E-03
1.3095,-9.92E-03
1.323,-8.60E-03
1.3365,-7.64E-03
1.35,-4.67E-03
1.3635,-2.57E-03
1.377,-7.94E-04
1.3905,1.59E-03
1.404,1.77E-03
1.4175,5.16E-04
1.431,2.50E-04
1.4445,1.38E-03
1.458,2.69E-03
1.4715,3.30E-03
1.485,3.00E-03
1.4985,1.88E-03
1.512,1.14E-03
1.5255,-7.26E-05
1.539,-3.00E-04
1.5525,1.63E-05
1.566,-5.61E-03
1.5795,-1.09E-02
1.593,-1.06E-02
1.6065,-7.65E-03
1.62,1.22E-02
1.6335,-2.51E-02
1.647,2.68E-02
1.6605,-1.59E-02
1.674,9.00E-03
1.6875,-2.00E-03
1.701,-1.04E-03
1.7145,-1.08E-03
1.728,1.12E-03
1.7415,6.53E-03
1.755,5.86E-03
1.7685,3.59E-03
1.782,1.13E-03
1.7955,-5.84E-04
1.809,-1.79E-05
1.8225,4.77E-04
1.836,1.63E-03
1.8495,2.17E-03
1.863,1.24E-03
1.8765,2.70E-04
1.89,9.19E-05
1.9035,4.56E-04
1.917,1.60E-03
1.9305,2.92E-03
1.944,3.88E-03
1.9575,5.10E-03
1.971,2.98E-03
1.9845,-3.07E-03
1.998,-1.30E-04
2.0115,-9.88E-04
2.025,5.38E-03
2.0385,-3.84E-03
2.052,6.18E-03
2.0655,6.73E-03
2.079,5.18E-03
2.0925,-1.89E-03
2.106,-5.13E-03
2.1195,-9.92E-03
2.133,-8.60E-03
2.1465,-7.64E-03
2.16,-4.67E-03
2.1735,-2.57E-03
2.187,-7.94E-04
2.2005,1.59E-03
2.214,1.77E-03
2.2275,5.16E-04
2.241,2.50E-04
2.2545,1.38E-03
2.268,2.69E-03
2.2815,3.30E-03
2.295,3.00E-03
2.3085,1.88E-03
2.322,1.14E-03
2.3355,-7.26E-05
2.349,-3.00E-04
2.3625,1.63E-05
2.376,-5.61E-03
2.3895,-1.09E-02
2.403,-1.06E-02
2.4165,-7.65E-03
2.43,1.22E-02
2.4435,-2.51E-02
2.457,2.68E-02
2.4705,-1.59E-02
2.484,9.00E-03
2.4975,-2.00E-03
2.511,-1.04E-03
2.5245,-1.08E-03
2.538,1.12E-03
2.5515,6.53E-03
2.565,5.86E-03
2.5785,3.59E-03
2.592,1.13E-03
2.6055,-5.84E-04
2.619,-1.79E-05
2.6325,4.77E-04
2.646,1.63E-03
2.6595,2.17E-03
2.673,1.24E-03
2.6865,2.70E-04
2.7,9.20E-05
2.7135,4.56E-04
2.727,1.60E-03
2.7405,2.92E-03
2.754,3.88E-03
2.7675,5.10E-03
2.781,2.98E-03
2.7945,-3.07E-03
2.808,-1.30E-04
2.8215,-9.88E-04
2.835,5.38E-03
2.8485,-3.84E-03
2.862,6.18E-03
2.8755,6.73E-03
2.889,5.18E-03
2.9025,-1.89E-03
2.916,-5.13E-03
2.9295,-9.92E-03
2.943,-8.60E-03
2.9565,-7.64E-03
2.97,-4.67E-03
2.9835,-2.57E-03
2.997,-7.94E-04
3.0105,1.59E-03
3.024,1.77E-03
3.0375,5.16E-04
3.051,2.50E-04
3.0645,1.38E-03
3.078,2.69E-03
3.0915,3.30E-03
3.105,3.00E-03
3.1185,1.88E-03
3.132,1.14E-03
3.1455,-7.26E-05
3.159,-3.00E-04
3.1725,1.63E-05
3.186,-5.61E-03
3.1995,-1.09E-02
3.213,-1.06E-02
3.2265,-7.65E-03
3.24,1.22E-02
3.2535,-2.51E-02
3.267,2.68E-02
3.2805,-1.59E-02
3.294,9.00E-03
3.3075,-2.00E-03
3.321,-1.04E-03
3.3345,-1.08E-03
3.348,1.12E-03
3.3615,6.53E-03
3.375,5.86E-03
3.3885,3.59E-03
3.402,1.13E-03
3.4155,-5.84E-04
3.429,-1.79E-05
3.4425,4.77E-04
3.456,1.63E-03
3.4695,2.17E-03
3.483,1.24E-03
3.4965,2.70E-04
3.51,9.20E-05
3.5235,4.56E-04
3.537,1.60E-03
3.5505,2.92E-03
3.564,3.88E-03
3.5775,5.10E-03
3.591,2.98E-03
3.6045,-3.07E-03
3.618,-1.30E-04
3.6315,-9.88E-04
3.645,5.38E-03
3.6585,-3.84E-03
3.672,6.18E-03
3.6855,6.73E-03
3.699,5.18E-03
3.7125,-1.89E-03
3.726,-5.13E-03
3.7395,-9.92E-03
3.753,-8.60E-03
3.7665,-7.64E-03
3.78,-4.67E-03
3.7935,-2.57E-03
3.807,-7.94E-04
3.8205,1.59E-03
3.834,1.77E-03
3.8475,5.16E-04
3.861,2.50E-04
3.8745,1.38E-03
3.888,2.69E-03
3.9015,3.30E-03
3.915,3.00E-03
3.9285,1.88E-03
3.942,1.14E-03
3.9555,-7.26E-05
3.969,-3.00E-04
3.9825,1.63E-05
3.996,-5.61E-03
4.0095,-1.09E-02
4.023,-1.06E-02
4.0365,-7.65E-03